Código,Nome,Un,Chave,EAN,Marca,1Contagem,2Contagem,3Contagem,Avaria,Total,Saldo Estoque,Loja,Almoxarifado
B7900,Betoneira 400L Prime Motor Monofasico - Menegotti,Un,226743298,7898442991108,Menegotti,,,,,0,2,Piaui Const FI02,283397887
B7901,Betoneira 400L Rental Motor Monofasico - Menegotti,Un,274095813,7898442991344,Menegotti,,,,,0,#N/A,Piaui Const FI02,283397887
M2512,Misturador Eletrico MEL1200 Monofaico 1200W - Menegotti,Un,251267947,7898442992815,Menegotti,,,,,0,#N/A,Piaui Const FI02,283397887
T2764,"Talha Manual Mtm 2,0T-5M - Menegotti",Un,251221483,7898442992778,Menegotti,,,,,0,#N/A,Piaui Const FI02,283397887
B1001,Basculante Aluminio Soft Vidro Boreal 50x50cm Branco 6833 - Mgm,Un,255576169,7898457535953,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1002,Basculante Aluminio Soft Vidro Boreal 40x60cm Branco 3127 - Mgm,Un,255576178,7898457534536,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1003,Basculante Aluminio Soft Vidro Boreal 40x40cm Branco 3124 - Mgm,Un,255576184,7898457534529,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1005,Basculante Aluminio Soft Vidro Boreal 60x60cm Branco 3145 - Mgm,Un,255576196,7898457534574,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1006,Basculante Aluminio Soft Vidro Boreal 60x40cm Branco 3142 - Mgm,Un,255576202,7898457534567,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1007,Janela de Correr 2 Fl Alum. Soft Sem Grade Vidro Liso 100x100cm Br 53588 - Mgm,Un,255576208,7898414840168,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1009,Janela de Correr 2 Fl Alum. Soft Sem Grade Vidro Liso 100x150cm Br 53590 - Mgm,Un,255576220,7898414840182,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1010,Janela de Correr 2 Fl Alum. Soft Com Grade Vidro Liso 100x120cm Br 53592 - Mgm,Un,255576226,7898414840311,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1021,Basculante Aluminio Soft Vidro Boreal 60x100cm Branco 3152 - Mgm,Un,257970115,7898457534598,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
B1065,Janela de Correr 2 Fl Alum. Soft Sem Grade Vidro Liso 100x150cm Br 5221 - Mgm,Un,262382816,7898495266086,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
C2638,Cilindro Para fechadura 117364 Encartelado Preto - Mgm,Un,263779271,7898508210822,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2601,"Dobradiça de Aço com Anel Cartela 3,5x3 Cromado 2091 - Mgm",Un,255545525,7898414844869,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2602,"Dobradiça de Aço com Anel Cartela 3,5x3 Bronze Latonado 2092 - Mgm",Un,255545533,7898414844074,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2603,"Dobradiça de Aço com Anel Cartela 3x2,5 Cromado 2083 - Mgm",Un,255548789,7898414844852,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2604,"Dobradiça de Aço Sem Anel Cartela 3x2,5 Cromado 2081 - Mgm",Un,255548795,7898414845217,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2605,"Dobradiça de Aço Com Anel Cartela 3x2,5 Bronze Latonado 2084 - Mgm",Un,255548801,7898414844050,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2607,Dobradiça de Aço Sem Anel Cartela 3 Bronze Latonado 2079 - Mgm,Un,255548813,7898414843978,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
D2608,Dobradiça de Aço Sem Anel Cartela 3 Cromado 2078 - Mgm,Un,255548819,7898414845279,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
E104,Basculante Rubi 100x60 7031 - Mgm,Un,389432,0,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
E115,Basculante Rubi 80x40 7020 - Mgm,Un,389454,0,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
E157,Porta Veneziana Napoles Primer 217x75 Direita 01010779016102 - Mgm,Un,366767,0,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
F2559,Folha de Porta Lisa Semi-Oca 210x90cm Branco 36385 - Mgm,Un,255629173,7898480675138,Mgm,,,,,0,1,Piaui Const FI02,283397887
F2560,Folha de Porta Lisa Semi-Oca 210x70cm Mogno 4709 - Mgm,Un,255629238,7899551438393,Mgm,,,,,0,0,Piaui Const FI02,283397887
F2561,Folha de Porta Lisa Semi-Oca 210x80cm Mogno 4710 - Mgm,Un,255629256,7899551438386,Mgm,,,,,0,2,Piaui Const FI02,283397887
F2562,Folha de Porta Lisa Semi-Oca 210x70cm Branco 2277 - Mgm,Un,255629280,7899551443489,Mgm,,,,,0,0,Piaui Const FI02,283397887
F2601,Fechadura Externa 40 Módena Espelho Stilo Aluminio 40213 - Mgm,Un,255539249,7898480675251,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
F2602,Fechadura Wc 40 Módena Espelho Stilo Aluminio 40228 - Mgm,Un,255545470,7898480675268,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
F2607,Fechadura Externa Serralheiro Alavanca 21mm Cromado 4298 - Mgm,Un,255545501,7898414846177,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
F2611,Fechadura Externa 40 Alavanca Stilo Bronze Latonado 469 - Mgm,Un,255551208,7898414840014,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
F2612,Fechadura Wc 40 Alavanca Stilo Bronze Latonado 480 - Mgm,Un,255551215,7898414841448,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
F2614,Fechadura Externa 40 Alavanca Stilo Cromado 434 - Mgm,Un,255551238,7898414840199,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J0005,Janela de Correr 2 Folhas Com Grade Vidro Liso 100x100cm Fênix Branco 104017 - Mgm,Un,282757196,7898480676708,Mgm,,,,,0,2,Piaui Const FI02,283397887
J0008,Janela de Correr 2 Folhas Com Grade Vidro Liso 100x120cm Fênix Branco 104019 - Mgm,Un,282757202,7898480676722,Mgm,,,,,0,7,Piaui Const FI02,283397887
J0009,Janela de Correr 2 Folhas Sem Grade Vidro Liso 100x100cm Fênix Branco 37092 - Mgm,Un,282757208,7899970100161,Mgm,,,,,0,0,Piaui Const FI02,283397887
J0010,Janela de Correr 2 Folhas Sem Grade Vidro Liso 100x120cm Fênix Branco 37093 - Mgm,Un,282757214,7899970100178,Mgm,,,,,0,2,Piaui Const FI02,283397887
J7004,Janela de Correr Qd. 4 Fl Grade Central Vidro Boreal 100x150cm Br 24922 - Mgm,Un,222668030,7899551461902,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7005,Janela Veneziana Grade Quadriculada 6fls com Vidro 100x120 Branco 24405 - Mgm,Un,221566964,7899551460806,Mgm,,,,,0,2,Piaui Const FI02,283397887
J7008,Porta Genova Branca Esquerda Com Vd 217x85 62100 - Mgm,Un,221567028,0,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7009,Porta Correr Quadriculado Dir. 3fls com Vidro 215x160cm Branco 24306- Mgm,Un,221567036,7899551459176,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7014,Porta Correr Quadriculado Dir. 2fls com Vidro 215x160cm Branco 24221 - Mgm,Un,221567068,7899551459213,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7015,Porta Correr Quadriculado Esq. 2fls com Vidro 215x160cm Branco 24229 - Mgm,Un,221567074,7899551459206,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7104,Folha de Porta Decorativa Semi Oca Cantareira 210x80cm Branco 2208 - Mgm,Un,276897613,7899551443090,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7903,Janela de Correr 2 Fl Alum. Soft Com Grade Vidro Liso 100x150cm Br 53593 - Mgm,Un,255592047,7898480675336,Mgm,,,,,0,2,Piaui Const FI02,283397887
J7904,Janela de Correr 4 Fl Alum. Soft Sem Grade Vidro Liso 100x120cm Br 53613 - Mgm,Un,255592056,7898414840342,Mgm,,,,,0,3,Piaui Const FI02,283397887
J7905,Janela de Correr Soft 4 Fl Alum. Sem Grade Vidro Liso 100x150cm Br 53614 - Mgm,Un,255592066,7898414840359,Mgm,,,,,0,1,Piaui Const FI02,283397887
J7906,Janela de Correr 4 Fl Alum. Soft com Grade Vidro Liso 100x120cm Br 53622 - Mgm,Un,255592075,7898414840403,Mgm,,,,,0,1,Piaui Const FI02,283397887
J7907,Janela de Correr 4 Fl Alum. Soft com Grade Vidro Liso 100x150cm Br 53623 - Mgm,Un,255592084,7898414840410,Mgm,,,,,0,3,Piaui Const FI02,283397887
J7908,Janela de Correr 2 Fl Alum. Soft com Grade Vidro Liso 100x100cm Br 53591 - Mgm,Un,255592091,7898414840304,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
J7992,Janela de Correr 2 Folhas Sem Grade Vidro Liso 80x80cm Fênix Branco 37088 - Mgm,Un,282750541,7899970100130,Mgm,,,,,0,1,Piaui Const FI02,283397887
K2560,Kit Batente com Alizar 2 Lados Regulável 12cm 70785 Branco - Mgm,Un,255629145,7898480671123,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
K2741,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Dir. Alizar Reg. 215x64cm 23537 Mogno - Mgm,Un,274360694,7899551486226,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
K2742,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Esq. Alizar Reg. 215x64cm 23593 Mogno - Mgm,Un,274349936,7899551486233,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
K2743,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Dir. Alizar Reg. 215x64cm 20971 Branco - Mgm,Un,274349924,7899551486820,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
K2744,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Esq. Alizar Reg. 215x64cm 21107 Branco - Mgm,Un,274349930,7899551486837,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
M2402,Máximo Ar Soft Alumínio Vidro Liso Sem Grade 60x60cm Branco 118833 - Mgm,Un,276897553,7898508213618,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
M2560,Maximo Ar Soft Alumínio Vidro Liso com Grade 50x50cm Branco 118875 - Mgm,Un,255592178,7898508213731,Mgm,,,,,0,0,Piaui Const FI02,283397887
M2561,Maximo Ar Soft Alumínio Vidro Liso Sem Grade 50x50cm Branco 118830 - Mgm,Un,255592187,7898508213557,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
M440650,Max_Ar Quadrada com grade 120 50x50 01060316000302 - Mgm,Un,440650,0,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P0023,Porta de Giro Soft Mista Alum. Postigo Grande Quadriculada Vidro Mini Boreal Esq. 215x85cm 24549 - Mgm,Un,279136327,7899551458841,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P0024,Porta de Giro Soft Mista Alum. Postigo Grande Quadriculada Vidro Mini Boreal Dir. 215x85cm 24546 - Mgm,Un,279136333,7899551458858,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P0800,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Reversivel 215x70cm 73911 Mogno - Mgm,Un,285275950,7898508210013,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P0905,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Reversivel 215x70cm 74299 Branco - Mgm,Un,285275943,7898480679976,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P0908,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Reversivel 215x80cm 93475 Mogno - Mgm,Un,285426555,7898480679938,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P0909,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Reversivel 215x80cm 112464 Branco 112464 - Mgm,Un,285426562,7898480679952,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2371,Porta Madeira Aço Branco/Branco 217x95 Direito 10110769110101 - Mgm,Un,237410462,7898457520324,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2372,Porta Madeira Aço Branco/Branco 215x95 Esquerda Batente 12cm 38568 - Mgm,Un,237410456,7898457521772,Mgm,,,,,0,0,Piaui Const FI02,283397887
P2455,Porta Madeira Aço Branco/Branco 215x75cm Direita Batente 12cm 27726 - Mgm,Un,247158773,7899551453600,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2456,Porta Madeira Aço Branco/Branco 215x75 Esquerda Batente 12cm 27727 - Mgm,Un,247158776,7899551453617,Mgm,,,,,0,4,Piaui Const FI02,283397887
P2458,Porta Madeira Aço Branco/Branco 215x85cm Direita Batente 12cm 27590 - Mgm,Un,247098412,7899551453556,Mgm,,,,,0,1,Piaui Const FI02,283397887
P2459,Porta Madeira Aço Branco/Branco 215x85cm Esquerda Batente 12cm 27593 - Mgm,Un,247098415,7899551453570,Mgm,,,,,0,1,Piaui Const FI02,283397887
P2575,Porta Madeira Aço Mogno/Branco 215x65cm Direita Batente 12cm 27635- Mgm,Un,255629183,7899551454003,Mgm,,,,,0,5,Piaui Const FI02,283397887
P2577,Porta Madeira Aço Mogno/Branco 215x95cm Direita Batente 12cm 93828 - Mgm,Un,255628815,7898480676029,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2578,Porta Madeira Aço Mogno/Branco 215x85cm Direita Batente 12cm 27626 - Mgm,Un,247816422,7899551453938,Mgm,,,,,0,1,Piaui Const FI02,283397887
P2579,Porta Madeira Aço Mogno/Branco 215x85cm Esquerda Batente 12cm 27628 - Mgm,Un,247816434,7899551453945,Mgm,,,,,0,0,Piaui Const FI02,283397887
P2661,Porta de Correr 2 Folhas Alum. Sólida Vidro Liso Dir. 210x160cm Branco 194 - Mgm,Un,255585512,7898457536004,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2662,Porta de Correr Sólida 2 Folhas Alum. Vidro Liso Esq 210x160cm Branco 197 - Mgm,Un,255585521,7898495269902,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2663,Porta de Correr Sólida 4 Folhas Alumínio Vidro Liso 210x200cm Branco 246 - Mgm,Un,255585528,7898457536035,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2664,Porta de Giro Soft Laminada 210x80cm Direita 104861 Branco - Mgm,Un,255592098,7898480677101,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2665,Porta de Giro Soft Laminada 210x80cm Esquerda 104865 Branco - Mgm,Un,255592108,7898480677118,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2668,Porta de Giro Soft Laminada 210x60cm Direita 104868 Branco - Mgm,Un,255592131,7898480677149,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2669,Porta de Giro Soft Laminada 210x60cm Esquerda 104869 Branco - Mgm,Un,255592138,7898480677231,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2670,Porta de Giro Soft Mista Alum. Postigo 2 Vidros Lisos Dir. 210x80cm Br 104872 - Mgm,Un,255592145,7898480677170,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2689,Folha de Porta Lisa Semi-Oca 210x80cm Branco 2276 - Mgm,Un,255611242,7899551443472,Mgm,,,,,0,0,Piaui Const FI02,283397887
P2699,Porta de Giro Mista Soft Alum. Basculante Dir. Vidro Liso 210x80cm Br 105513 - Mgm,Un,255592151,7898480677705,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2704,Porta de Giro Mista Basculante Alum. Soft Vidro Liso Esq. 210x80cm Br 105514 - Mgm,Un,255592171,7898480677699,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2712,Porta Madeira Aço Mogno/Branco 215x95cm Esquerda Batente 12cm 93824 - Mgm,Un,255629192,7898480676012,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2714,Porta Madeira Aço Branco/Branco 215x95cm Direita Batente 12cm 38567 - Mgm,Un,255628799,7898480675183,Mgm,,,,,0,3,Piaui Const FI02,283397887
P2717,Porta Eco Madeira Alumínio 212x85cm Esquerda Branco 124650 - Mgm,Un,255787507,7898508216923,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2718,Porta Eco Madeira Alumínio 212x75cm Esquerda Branco 124642 - Mgm,Un,255787516,7898508216824,Mgm,,,,,0,1,Piaui Const FI02,283397887
P2719,Porta Eco Madeira Alumínio 212x75cm Direita Mogno 124587 - Mgm,Un,255787523,7898508216435,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2720,Porta Madeira Aço Mogno/Branco 215x65cm Esquerda Batente 12cm 27639 - Mgm,Un,255628821,7899551454010,Mgm,,,,,0,1,Piaui Const FI02,283397887
P2721,Porta Eco Madeira Alumínio 212x85cm Direita Branco 124649 - Mgm,Un,255805293,7898508216916,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2722,Porta Madeira Aço Mogno/Branco 215x75cm Direita Batente 12cm 27728 - Mgm,Un,255628826,7899551453983,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2723,Porta Madeira Aço Mogno/Branco 215x75cm Esquerda Batente 12cm 27729 - Mgm,Un,255628832,7899551453976,Mgm,,,,,0,4,Piaui Const FI02,283397887
P2724,Foha de Porta Decorativa Cantareira Semi-Oca 210x80cm Mogno 1007 - Mgm,Un,255628838,7899551437273,Mgm,,,,,0,0,Piaui Const FI02,283397887
P2725,Porta Eco Madeira Alumínio 212x85cm Esquerda Mogno 124594 - Mgm,Un,255805302,7898508217036,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2726,Folha de Porta Lisa Semi-Oca 210x60cm Branco 2280 - Mgm,Un,255628844,7899551443496,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2729,Porta Eco Madeira Alumínio 212x85cm Direita Mogno 124591 - Mgm,Un,255805309,7898508216459,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2731,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Esq. Alizar Reg. 215x74cm 21113 Branco - Mgm,Un,255629155,7899551486813,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2733,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Esq. Alizar Reg. 215x84cm 23627 Mogno - Mgm,Un,255629226,7899551486196,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2736,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Dir. Alizar Reg. 215x84cm 21100 Branco - Mgm,Un,255629272,7899551486776,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2737,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Dir. Alizar Reg. 215x74cm 23549 Mogno - Mgm,Un,255639295,7899551486202,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2738,Porta Eco Madeira Alumínio 212x65cm Direita Mogno 124583 - Mgm,Un,255805316,7898508216350,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2745,Porta de Giro Lambri com Puxador Direita 210cmx100cm Branco 121564 - Mgm,Un,255666769,7898508215889,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2757,Porta Eco Madeira Alumínio 212x65cm Esquerda Mogno 124586 - Mgm,Un,255805330,7898508216428,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2758,Porta Eco Madeira Alumínio 212x65cm Esquerda Branca 124621 - Mgm,Un,255805337,7898508216527,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2759,Porta Eco Madeira Alumínio 212x75cm Direita Branca 124641 - Mgm,Un,255805344,7898508216817,Mgm,,,,,0,2,Piaui Const FI02,283397887
P2763,Porta Eco Madeira Alumínio 212x75cm Esquerda Mgno 124589 - Mgm,Un,255928674,7898508216442,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2904,Porta de Giro Laminada Branco 217x75x6cm Direita 104631 - Mgm,Un,251921796,7898480677026,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2911,Porta de Giro Laminada Branco 215x85x6cm Direita 104641 - Mgm,Un,251921812,7898480677040,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2912,Porta de Giro Laminada Branco 215x85x6cm Esquerda 104644 - Mgm,Un,251921816,7898480677057,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2913,Porta de Giro Laminada Branco 217x65x6cm Esquerda 104626 - Mgm,Un,251921822,7898480677019,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P2914,Porta de Giro Laminada Branco 217x65x6cm Direita 104615 - Mgm,Un,251921827,7898480677002,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P3201,Folha de Porta Lisa Semi-Oca 210x90cm Mogno 36384 - Mgm,Un,255612252,7899551463982,Mgm,,,,,0,2,Piaui Const FI02,283397887
P3203,Foha de Porta Decorativa Cantareira Semi-Oca 210x90cm Mogno 33399 - Mgm,Un,255612264,7899551463708,Mgm,,,,,0,2,Piaui Const FI02,283397887
P3204,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Dir. 215x90cm Br 74295 - Mgm,Un,255612270,7898480679907,Mgm,,,,,0,2,Piaui Const FI02,283397887
P3205,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Esq. 215x90cm Br 74298 - Mgm,Un,255612276,7898480679891,Mgm,,,,,0,1,Piaui Const FI02,283397887
P3209,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Dir. 215x90cm Mogno 56064- Mgm,Un,255612282,7898480675831,Mgm,,,,,0,4,Piaui Const FI02,283397887
P3210,Porta de Correr Sobrepor Alizar sup. 10 e Lat. 5cm Esq. 215x90cm Mogno 56067 - Mgm,Un,255616538,7898480675848,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P3211,Folha de Porta Lisa Semi-Oca 210x60cm Mogno 4708 - Mgm,Un,255616544,7899551438409,Mgm,,,,,0,1,Piaui Const FI02,283397887
P3213,Foha de Porta Decorativa Gaucha Semi-Oca 210x80cm Mogno 1010 - Mgm,Un,255628793,7899551437303,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P3666,Porta Madeira Aço Branco/Branco 215x65cm Direita Batente 12cm 27607 - Mgm,Un,366668,7899551453655,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
P3732,Kit Porta Madeira Lisa Batente Mdf Semi-Oca Esq. Alizar Reg. 215x84cm 21120 Branco - Mgm,Un,255629164,7899551486790,Mgm,,,,,0,#N/A,Piaui Const FI02,283397887
A2544,Adesivo Silicone Acetico Incolor 260g - Mundial Prime,Un,254358781,7898915993578,Mundial Prime,,,,,0,#N/A,Piaui Const FI02,283397887
E2552,Espuma Poliuretano Pu 500ml/480G - Mundial Prime,Un,255502979,7898915993233,Mundial Prime,,,,,0,#N/A,Piaui Const FI02,283397887
B39,"Telha Ecológica Verde 2,00x0,95 - Onduline",Un,359640,7898907242387,Onduline,,,,,0,37,Piaui Const FI02,283397887
B40,Telha Ecológica Vermelha 2.00x0.95 - Onduline,Un,359643,7898907242875,Onduline,,,,,0,29,Piaui Const FI02,283397887
C1303,Cumeeira Vermelha 2.00x0.50 - Onduline,Un,359635,7898907242813,Onduline,,,,,0,#N/A,Piaui Const FI02,283397887
C1401,Cumeeira Verde 2.00x0.50 - Onduline,Un,14010898,7898907242837,Onduline,,,,,0,10,Piaui Const FI02,283397887
P2488,Prego Facil Vermelho 18pçs - Onduline,Un,248498082,7898594650595,Onduline,,,,,0,45,Piaui Const FI02,283397887
P6512,Prego Facil Verde 18pçs - Onduline,Un,249877703,7898594650601,Onduline,,,,,0,32,Piaui Const FI02,283397887
T2587,Telha Ecológica Stilo Vermelha 2.00x0.96 - Onduline,Un,255531735,7898594650663,Onduline,,,,,0,76,Piaui Const FI02,283397887
T2588,"Telha Ecológica Stilo Verde 2,00x0,96 - Onduline",Un,255531748,7898594650656,Onduline,,,,,0,80,Piaui Const FI02,283397887
A7627,Armador Baton Ferro Cromado - Pava,Par,76278884,0,pava,,,,,0,#N/A,Piaui Const FI02,283397887
T1516,"Telha Fibra 0,80mm Trapeizoidal 6,00x1,04m Branca Leitosa - Planefibra",Un,282118463,0,Planefibra,,,,,0,#N/A,Piaui Const FI02,283397887
T1518,"Telha Fibra 0,80mm Trapeizoidal 6,00x1,04m Incolor - Planefibra",Un,282118469,0,Planefibra,,,,,0,#N/A,Piaui Const FI02,283397887
P0204,"Piso 80X80 Retificado Cantabria Azul Polido 1,90m²/cx - Pointer",Un,278102629,7899821373416,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P0214,"Revestimento 30x60cm Mos Cocal Lenho Mate 2,37m²/cx - Pointer",Un,277229358,7899821305561,Pointer,,,,,0,25,Piaui Const FI02,283397887
P0606,"Piso 60x120 Retificado Valencia Gris Polido 2,15m²/cx - Pointer",Un,285425503,7892226394376,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P0607,"Piso 60x120 Retificado Vizcaya Marron Polido 2,15m²/cx - Pointer",Un,285425511,7892226394574,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P0608,"Piso 60x120 Retificado Stelar Line Grey Mate 2,19m²/cx - Pointer",Un,285425517,7892226405768,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P1451,"Piso 45X90 Retificado Stars Mix Mate 1,64m²/cx - Pointer",Un,253750084,7899821357812,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P1453,"Piso 15X90 Retificado Tijuca Mix Externo Mate 1,61m²/cx - Pointer",Un,253750090,7899821345925,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P1460,"Piso 80X80 Retificado Quasar Sol Polido 1,90m²/cx - Pointer",Un,273163960,7899821373294,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P1461,"Piso 80X80 Retificado Vizcaya Polido 1,90m²/cx - Pointer",Un,282152628,7892226261463,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P2157,"Piso 60x60 Carrara Statuario Brilho 2,20m²/cx - Pointer",Un,271993119,7899821313573,Pointer,,,,,0,29,Piaui Const FI02,283397887
P2158,"Piso 60x60 Riacho Doce Externo 2,20m²/cx - Pointer",Un,271993125,7899821341644,Pointer,,,,,0,22,Piaui Const FI02,283397887
P2530,"Revestimento 30x60 Retificado Monaco Blu 2,28m²/cx - Pointer",Un,273163977,7899821356297,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P2603,"Piso 60x60 Classico Branco Brilho 2,20m²/cx - Pointer",Un,251014469,7899821313818,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P2604,"Revestimento 30x60 Classico Branco Brilho 2,37m²/cx - Pointer",Un,251014474,7899821305769,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P2605,"Piso 60x60 Classico Cru Brilho 2,20m²/cx - Pointer",Un,251014479,7899821335087,Pointer,,,,,0,13,Piaui Const FI02,283397887
P2606,"Revestimento 30x60 Diamante Multicolor Brilho 2,37m²/cx - Pointer",Un,251014484,7899821341668,Pointer,,,,,0,19,Piaui Const FI02,283397887
P2607,"Piso 60x60 Deck Canela 2,20m²/cx - Pointer",Un,251014489,7899821313313,Pointer,,,,,0,9,Piaui Const FI02,283397887
P2608,"Revestimento 30x60 Pastilha Tom Bordado 2,37m²/cx Brilho - Pointer",Un,251014494,7899821329567,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
P261,"Revestimento 15x90 Retificado Rovere Grigio Mate 1,61m²/cx - Pointer",Un,254244318,7899821345840,Pointer,,,,,0,#N/A,Piaui Const FI02,283397887
